experiment,target,rho,seed,frac_poly_D3,frac_poly_D4,frac_rbf_ridge
order_probe_v2,additive_index,0.0,1,0.018778195375449384,0.01871959192226627,0.015434988949854348
order_probe_v2,additive_index,0.0,2,0.01873813617440359,0.01871686004544254,0.016453178666905818
order_probe_v2,additive_index,0.3,0,0.016678905745772885,0.016653664405596433,0.01109357232444767
order_probe_v2,additive_index,0.3,1,0.016992279670563548,0.016888720832690107,0.010509304914410456
order_probe_v2,additive_index,0.3,2,0.016290127245151075,0.01626428783916374,0.010719096423309024
order_probe_v2,additive_index,0.5,0,0.015949776772207276,0.01591723893379708,0.007016398722853967
order_probe_v2,additive_index,0.5,1,0.01644035002888598,0.016298479108892497,0.006558073814765103
order_probe_v2,additive_index,0.5,2,0.015477389676897426,0.015432684444244926,0.006666473253842551
order_probe_v2,additive_index,0.7,0,0.016431422728825255,0.016393956501896786,0.003071456937912328
order_probe_v2,additive_index,0.7,1,0.016819355580600867,0.016642696690999444,0.0029787270150018396
order_probe_v2,additive_index,0.7,2,0.015992272595593687,0.01591032091795563,0.0029479679899725377
order_probe_v2,additive_index,0.9,0,0.01801444638255212,0.017975871848225668,0.0004272436385456291
order_probe_v2,additive_index,0.9,1,0.017899533955986105,0.01770551906029928,0.0004269120068461924
order_probe_v2,additive_index,0.9,2,0.01775673608032012,0.0175975184684986,0.0004014036858846383
order_probe_v2,additive_index,0.99,0,0.01894968775148802,0.018912944670249506,1.1683268946467859e-05
order_probe_v2,additive_index,0.99,1,0.018436803275747843,0.01825528789842714,1.6596437202502102e-05
order_probe_v2,additive_index,0.99,2,0.019004373140285198,0.01878097351847605,1.9271663978496776e-05
order_probe_v2,additive_index,1.0,0,0.019025376888720687,0.018996028166359053,7.127952087256054e-06
order_probe_v2,additive_index,1.0,1,0.018437030589168384,0.01827402691937912,1.0550650425198061e-05
order_probe_v2,additive_index,1.0,2,0.019261229487545804,0.01906469292096099,1.4564216266254506e-05
