experiment,target,rho,seed,frac_poly_D3,frac_poly_D4,frac_rbf_ridge
equicorr_probe,pairwise_control,0.99,1,0.06377872180892957,0.06365724632665806,1.1136842781763022e-05
equicorr_probe,pairwise_control,0.99,2,0.06426255685027,0.06371218247986295,1.126565954072705e-05
equicorr_probe,pairwise_control,1.0,0,0.06496986009381552,0.06494109973979492,1.0292652637699458e-05
equicorr_probe,pairwise_control,1.0,1,0.06486186813180823,0.06477539382212044,1.0316235492787482e-05
equicorr_probe,pairwise_control,1.0,2,0.06492255652114151,0.06455013813959759,1.0437609536444959e-05
equicorr_probe,additive_index,0.0,0,0.01850134556454968,0.018460180186491787,0.015857970759498803
equicorr_probe,additive_index,0.0,1,0.01897338963853437,0.018944224703931613,0.016116375293823777
equicorr_probe,additive_index,0.0,2,0.018705913313347245,0.01866665312458319,0.015677128821060527
equicorr_probe,additive_index,0.3,0,0.019390405136629617,0.019342716110104748,0.006666656997511911
equicorr_probe,additive_index,0.3,1,0.02028019219242673,0.020154468715049684,0.0067230694437516204
equicorr_probe,additive_index,0.3,2,0.01916538484124637,0.01913560602837863,0.006448919215485647
equicorr_probe,additive_index,0.5,0,0.024457402111348597,0.024326603506802477,0.002882700389365663
equicorr_probe,additive_index,0.5,1,0.02493860599097995,0.024867289053977948,0.0031189742331835446
equicorr_probe,additive_index,0.5,2,0.0245164682152107,0.024405529446973977,0.0028173152863205588
equicorr_probe,additive_index,0.7,0,0.03037552923260397,0.03014820875784714,0.0007577989174425668
equicorr_probe,additive_index,0.7,1,0.03044084274765803,0.03039611669782835,0.0008905551110658293
equicorr_probe,additive_index,0.7,2,0.03065778305369967,0.030394712530435266,0.000737667033205756
equicorr_probe,additive_index,0.9,0,0.036200468369166086,0.03587916523981757,3.73821077922653e-05
equicorr_probe,additive_index,0.9,1,0.03598420485228823,0.03592047653237142,4.936454712920326e-05
equicorr_probe,additive_index,0.9,2,0.03663901295932371,0.036232450910834775,3.699795690028207e-05
equicorr_probe,additive_index,0.99,0,0.038769052230924334,0.03837582831878192,8.876297380481383e-07
equicorr_probe,additive_index,0.99,1,0.038502648676042334,0.03840903964329427,5.807655459171506e-07
equicorr_probe,additive_index,0.99,2,0.0389416646791103,0.03850942676728522,8.72226484122729e-07
equicorr_probe,additive_index,1.0,0,0.03910864034926892,0.03908462367219899,7.019422747917154e-07
equicorr_probe,additive_index,1.0,1,0.038920781185096266,0.0388518070204904,4.0127996779472744e-07
equicorr_probe,additive_index,1.0,2,0.03904103580790506,0.03874552921075804,7.247807297797421e-07
